Date time,Home (kWh),From Powerwall (kWh),Solar Energy (kWh),From Grid (kWh),To Grid (kWh)
2024-02-01T00:00:00-08:00,21.4,9.1,19.1,6.7,3.1
2024-02-02T00:00:00-08:00,21.9,8.6,18.7,5.4,0.3
2024-02-03T00:00:00-08:00,26.2,4.9,12.9,13.1,0.0
2024-02-04T00:00:00-08:00,19.2,5.9,12.0,16.7,0.0
2024-02-05T00:00:00-08:00,24.9,12.3,22.7,5.2,10.3
2024-02-06T00:00:00-08:00,20.9,8.9,20.8,5.5,3.8
2024-02-07T00:00:00-08:00,25.9,4.1,10.4,15.5,0.0
2024-02-08T00:00:00-08:00,28.4,8.8,21.2,8.7,0.3
2024-02-09T00:00:00-08:00,38.2,9.0,23.1,16.7,0.5
2024-02-10T00:00:00-08:00,20.0,6.9,26.8,4.7,8.1
2024-02-11T00:00:00-08:00,19.3,5.8,26.3,4.3,6.8
2024-02-12T00:00:00-08:00,24.5,14.2,27.9,0.0,8.0
2024-02-13T00:00:00-08:00,24.6,9.3,22.1,8.1,4.4
2024-02-14T00:00:00-08:00,24.7,5.7,13.9,11.5,0.0
2024-02-15T00:00:00-08:00,28.6,9.9,27.7,10.4,8.3
2024-02-16T00:00:00-08:00,26.5,2.8,14.9,12.3,0.0
2024-02-17T00:00:00-08:00,24.0,2.6,6.4,18.2,0.0
2024-02-18T00:00:00-08:00,16.7,6.8,21.6,4.2,5.4
2024-02-19T00:00:00-08:00,21.6,11.6,23.0,2.6,5.5
2024-02-20T00:00:00-08:00,28.1,4.1,11.6,17.1,0.0
2024-02-21T00:00:00-08:00,21.2,8.0,31.8,6.3,14.5
2024-02-22T00:00:00-08:00,24.5,9.2,30.5,6.7,10.9
2024-02-23T00:00:00-08:00,20.5,7.8,28.5,3.9,9.1
2024-02-24T00:00:00-08:00,16.7,6.2,30.3,1.7,11.3
2024-02-25T00:00:00-08:00,25.0,10.7,32.0,0.0,10.6
2024-02-26T00:00:00-08:00,21.5,11.0,25.4,2.8,7.6
2024-02-27T00:00:00-08:00,23.1,7.1,34.1,9.3,17.2
2024-02-28T00:00:00-08:00,27.3,10.2,33.5,4.4,9.9
2024-02-29T00:00:00-08:00,30.4,8.8,14.9,14.8,0.0
