tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
16.8,13.3,20.6,0.0,,271.0,12.2,,1014.5,
17.3,12.8,26.1,0.0,,256.0,9.7,,1013.5,
21.8,16.7,32.8,0.0,,275.0,10.4,,1014.2,
21.8,16.1,26.1,0.0,,254.0,13.3,,1014.8,
19.0,13.9,23.9,0.0,,289.0,13.7,,1012.3,
16.3,11.7,21.7,0.0,,293.0,13.3,,1016.5,
18.1,12.2,26.1,0.0,,304.0,10.8,,1015.6,
17.9,12.8,23.3,0.0,,301.0,9.7,,1013.6,
15.4,12.8,19.4,0.0,,260.0,21.6,,1012.5,
15.3,12.8,19.4,0.0,,281.0,20.5,,1013.4,
15.5,12.8,19.4,0.0,,263.0,15.1,,1016.0,
16.6,11.1,25.0,0.0,,277.0,10.4,,1018.8,
18.8,12.2,28.3,0.0,,323.0,9.4,,1016.1,
23.8,16.1,36.7,0.0,,323.0,9.4,,1011.9,
24.8,16.1,32.2,0.0,,325.0,10.1,,1012.4,
20.9,15.0,30.0,0.0,,303.0,11.9,,1012.3,
20.6,13.9,28.9,0.0,,318.0,11.2,,1011.9,
18.1,12.8,23.9,0.0,,306.0,13.7,,1013.7,
17.1,12.2,23.9,0.0,,317.0,13.7,,1016.6,
16.9,13.3,23.3,0.0,,296.0,12.2,,1018.4,
16.9,12.8,21.7,0.0,,288.0,11.5,,1018.0,
15.9,13.3,19.4,0.0,,287.0,18.7,,1017.5,
15.2,13.3,17.8,0.0,,273.0,18.7,,1017.8,
15.0,13.3,19.4,0.0,,274.0,17.3,,1016.8,
14.3,13.3,16.1,0.0,,263.0,19.8,,1016.3,
14.9,13.3,17.8,0.0,,271.0,16.9,,1016.7,
17.4,14.4,25.0,0.0,,271.0,12.2,,1015.7,
20.5,17.8,24.4,0.0,,299.0,15.1,,1014.7,
19.2,16.1,22.8,0.0,,292.0,18.4,,1015.9,
17.4,14.4,22.2,0.0,,276.0,14.8,,1017.4,
17.6,13.9,22.2,0.0,,296.0,13.0,,1018.0,
16.8,14.4,20.6,0.0,,273.0,13.0,,1020.8,
19.0,14.4,30.0,0.0,,288.0,9.4,,1017.8,
21.1,15.0,26.1,0.0,,307.0,14.0,,1012.8,
